No.,Exch_AMEX,Exch_NASDAQ,Exch_NYSE
823,FCG,ASTS,CIB
824,FCOM,ASTSW,CIEN
825,FCOR,ASUR,CIF
826,FCSH,ASVIX,CIG
827,FCUS,ASYS,CIG-C
828,FDAT,ATACX,CII
829,FDD,ATAI,CIK
830,FDHY,ATAK,CIM
831,FDIS,ATAKR,CIM-PA
832,FDL,ATAKU,CIM-PB
833,FDLO,ATAKW,CIM-PC
834,FDLS,ATAT,CIM-PD
835,FDM,ATAX,CINR
836,FDMO,ATCOL,CINT
837,FDN,ATCX,CIO
838,FDRR,ATEC,CION
839,FDV,ATER,CIO-PA
840,FDVV,ATERX,CIR
841,FDWM,ATESX,CIT
842,FEBT,ATEX,CIT-PB
843,FEBW,ATGL,CIVI
844,FEDL,ATHA,CIXX
845,FEDM,ATHE,CKP
846,FEEM,ATHX,CL
847,FEEU,ATIF,CLAA
848,FEHY,ATLC,CLAA-UN
849,FEIG,ATLCL,CLAA-WT
850,FELC,ATLCP,CLAS
851,FELG,ATLO,CLAS-UN
852,FELV,ATLX,CLAS-WT
853,FENI,ATMC,CLB
854,FENY,ATMCR,CLBR
855,FESM,ATMCU,CLBR-UN
856,FEUL,ATMCW,CLBR-WT
857,FEUS,ATML,CLC
858,FEVR,ATMV,CLCO
859,FEZ,ATMVU,CLDT
860,FFEU,ATNF,CLDT-PA
861,FFIU,ATNFW,CLF
862,FFLS,ATNI,CLH
863,FFND,ATNX,CLI
864,FFR,ATOAX,CLII
865,FFTY,ATOM,CLIM
866,FGD,ATOS,CLIM-UN
867,FGDL,ATPC,CLIM-WT
868,FGLD,ATRA,CLM
869,FHLC,ATRC,CLNC
870,FHYS,ATRI,CLNY
871,FIAX,ATRO,CLPR
872,FIDI,ATRS,CLR
873,FIDU,ATSG,CLS
874,FIEE,ATSMX,CLVT
875,FIEG,ATSPT,CLVT-PA
876,FIEU,ATSPU,CLW
877,FIG,ATSPW,CLX
878,FIGB,ATVC,CM
879,FIGY,ATVCU,CMA
880,FIHD,ATVCW,CMC
881,FILL,ATVI,CMCM
882,FINU,ATXI,CMG
883,FINZ,ATXS,CMI
884,FISK,ATY,CMO
885,FISR,AUB,CMP
886,FITE,AUBAP,CMRE
887,FIVA,AUBN,CMRE-PB
888,FIVG,AUDC,CMRE-PC
889,FIW,AUEIX,CMRE-PD
890,FIYY,AUENX,CMRE-PE
891,FJNK,AUERX,CMS
892,FLAU,AUGX,CMSA
893,FLAX,AUID,CMSC
894,FLBR,AULDX,CMSD
895,FLCA,AUMI,CMS-PB
896,FLCB,AUPH,CMS-PC
897,FLCH,AUR,CMTG
898,FLCO,AURA,CMU
899,FLDZ,AURC,CNA
900,FLEE,AURCU,CNC
901,FLEH,AURCW,CND
902,FLEU,AUROW,CNDA
903,FLFR,AUTL,CNDA-UN
904,FLGB,AUTO,CNDA-WT
905,FLGE,AUUCX,CNDB
906,FLGR,AUUD,CNDB-UN
907,FLGV,AUUDW,CNDB-WT
908,FLHK,AUVI,CND-UN
909,FLIN,AUVIP,CND-WT
910,FLIO,AVAC,CNF
911,FLIY,AVACU,CNHI
912,FLJH,AVACW,CNI
913,FLJP,AVAH,CNK
914,FLKR,AVAV,CNL
915,FLLA,AVCO,CNM
916,FLLV,AVCT,CNMD
917,FLM,AVCTW,CNNE
918,FLMB,AVDL,CNO
919,FLMI,AVDX,CNO-PA
920,FLMX,AVEAX,CNP
921,FLOW,AVEDX,CNP-PB
922,FLQD,AVEGX,CNQ
923,FLQE,AVEMX,CNR
924,FLQG,AVEO,CNS
925,FLQH,AVEWX,CNVY
926,FLRG,AVFIX,CNX
927,FLRN,AVGO,CO
928,FLRT,AVGOP,CODI
929,FLRU,AVGR,CODI-PA
930,FLSA,AVHI,CODI-PB
931,FLSP,AVHIU,CODI-PC
932,FLSW,AVHIW,COE
933,FLTB,AVID,COF
934,FLTR,AVIR,COF-PI
935,FLTW,AVNW,COF-PJ
936,FLUD,AVO,COF-PK
937,FLYD,AVPAX,COF-PL
938,FLYT,AVPT,COF-PN
939,FLYU,AVPTW,COG
940,FLZA,AVRO,COL
941,FM,AVT,COLD
942,FMAT,AVTA,COMP
943,FMCX,AVTE,COO
944,FMDE,AVTX,COOK
945,FMDG,AVUAX,COP
946,FMF,AVXL,COR
947,FMNY,AVXS,CORR
948,FMQQ,AWEIX,CORR-PA
949,FNCL,AWH,CORS
950,FNDA,AWIN,CORS-UN
951,FNDB,AWRE,CORS-WT
952,FNDC,AWSHX,COTV
953,FNDE,AXDX,COTY
954,FNDF,AXGN,COUR
955,FNDX,AXLA,CP
956,FNG,AXNX,CPA
957,FNGD,AXON,CPAC
958,FNGG,AXSM,CPB
959,FNGO,AXTI,CPE
960,FNGS,AY,CPF
961,FNGU,AYLA,CPG
962,FNGZ,AYRO,CPGX
963,FNI,AYTU,C-PJ
964,FNTC,AZ,CPK
965,FOIL,AZN,C-PK
966,FORH,AZPN,CPLG
967,FOVL,AZRX,CPN
968,FOXO,AZSPX,C-PN
969,FPE,AZTA,CPNG
970,FPEI,AZYO,CPRI
971,FPX,BABX,CPS
972,FQAL,BACAX,CPSR
973,FRAK,BACK,CPT
974,FRD,BACPX,CPTK
975,FREL,BADAX,CPTK-UN
976,FRI,BAEIX,CPTK-WT
977,FRLG,BAER,CPUH
978,FRN,BAERW,CPUH-UN
979,FRTY,BAFAX,CPUH-WT
980,FSBD,BAFN,CQH
981,FSEC,BAGAX,CR
982,FSI,BAGIX,CRBG
983,FSIG,BAGSX,CRC
984,FSLD,BAHAX,CRD-A
985,FSMB,BAIAX,CRD-B
986,FSMD,BALFX,CRF
987,FSP,BALGX,CRGY
988,FSST,BALPX,CRH
989,FSTA,BAMBX,CRHC
990,FSYD,BAMPX,CRHC-UN
991,FTBD,BAND,CRHC-WT
992,FTEC,BANF,CRI
993,FTF,BANFP,CRK
994,FTHF,BANL,CRL
995,FTIF,BANR,CRM
996,FTLS,BANX,CRN
997,FTSD,BAOS,CRS
998,FTWO,BAQAX,CRT
999,FUD,BARAX,CRU
1000,FUE,BARDX,CRU-UN
1001,FUMB,BARIX,CRU-WT
1002,FURY,BARUX,CRY
1003,FUSI,BASAX,CS
1004,FUTY,BASE,CSAN
1005,FVAL,BASMX,CSC
1006,FVD,BASOX,CSL
1007,FVL,BATRA,CSLT
1008,FWD,BATRK,CSPR
1009,FWDB,BAUAX,CSR
1010,FXA,BAWAX,CSRA
1011,FXB,BAYAU,CSR-PC
1012,FXC,BBBIX,CST
1013,FXCH,BBBMX,CSTA
1014,FXD,BBBY,CSTA-UN
1015,FXE,BBCP,CSTA-WT
1016,FXED,BBGI,CSTM
1017,FXF,BBH,CSU
1018,FXG,BBHLX,CSV
1019,FXH,BBI,CTAC-UN
1020,FXI,BBIG,CTA-PA
1021,FXL,BBIO,CTA-PB
1022,FXN,BBLG,CTBB
1023,FXO,BBLGW,CTDD
1024,FXP,BBOX,CTEST
1025,FXR,BBQ,CTK
1026,FXS,BBSI,CTLT
1027,FXSG,BCAB,CTO
1028,FXU,BCAC,CTO-PA
1029,FXY,BCACU,CTOS
1030,FXZ,BCACW,CTOS-WT
1031,FYLG,BCAN,CTR
1032,GABF,BCBP,CTRA
1033,GAL,BCDA,CTRE
1034,GAMR,BCDAW,CTS
1035,GASL,BCEL,CTT
1036,GAST,BCHYX,CTU
1037,GASX,BCITX,CTV
1038,GAU,BCLI,CTVA
1039,GAZ,BCML,CTV-WT
1040,GAZB,BCNA,CTZ
1041,GBB,BCOIX,CUBB
1042,GBDV,BCOR,CUBE
1043,GBF,BCOSX,CUBI
1044,GBGR,BCOV,CUBI-PE
1045,GBIL,BCOW,CUBI-PF
1046,GBLD,BCPC,CUDA
1047,GBLO,BCRX,CUK
1048,GBR,BCSA,CULP
1049,GBUG,BCSAU,CURO
1050,GBUY,BCSAW,CURV
1051,GCC,BCSAX,CUZ
1052,GCE,BCSFX,CVA
1053,GCIG,BCSIX,CVC
1054,GCOR,BCSSX,CVE
1055,GDAT,BCSVX,CVEO
1056,GDEF,BCTG,CVG
1057,GDIV,BCTX,CVI
1058,GDMA,BCTXW,CVII
1059,GDNA,BCYC,CVII-UN
1060,GDOC,BCYP,CVII-WT
1061,GDP,BCYPU,CVNA
1062,GDVD,BCYPW,CVRR
1063,GDX,BDAFX,CVS
1064,GDXD,BDFFX,CVX
1065,GDXJ,BDFIX,CW
1066,GDXS,BDGS,CWAN
1067,GDXU,BDHIX,CWEN
1068,GEM,BDOAX,CWEN-A
1069,GENC,BDRX,CWH
1070,GERM,BDSAX,CWK
1071,GEX,BDSCX,CWT
1072,GFIN,BDSI,CX
1073,GFOF,BDSIX,CXAC
1074,GGN-PB,BDSKX,CXAC-UN
1075,GGO,BDSQX,CXAC-WT
1076,GGRW,BDSX,CXE
1077,GGUS,BDSYX,CXH
1078,GHII,BDTX,CXM
1079,GHYB,BEAM,CXP
1080,GIGB,BEAT,CXT
1081,GII,BEATW,CXW
1082,GINN,BEAV,CYD
1083,GK,BECN,CYH
1084,GLBY,BEEAX,CYS
1085,GLCN,BEEM,CZOO
1086,GLD,BEEMW,D
1087,GLDG,BEEZ,DAC
1088,GLDM,BEGBX,DAL
1089,GLDW,BEGIX,DAN
1090,GLDX,BEGRX,DAO
1091,GLIF,BELFA,DAR
1092,GLIN,BELFB,DASH
1093,GLL,BEMIX,DAVA
1094,GLRY,BENE,DB
1095,GLTA,BENER,DBD
1096,GLTA-UN,BENEU,DBI
1097,GLTA-WT,BENEW,DBL
1098,GLTR,BENF,DBRG
1099,GLU-PB,BEQGX,DBRG-PH
1100,GMAN,BESIX,DBRG-PI
1101,GMET,BEXFX,DBRG-PJ
1102,GMF,BEXIX,DCF
1103,GMM,BFAFX,DCI
1104,GMUN,BFC,DCO
1105,GNAF,BFCFX,DCP
1106,GNR,BFGFX,DCP-PB
1107,GNS,BFGIX,DCP-PC
1108,GOAU,BFGUX,DCUE
1109,GOED,BFI,DC-WT
1110,GOEX,BFIFX,DD
1111,GOOY,BFIIW,DDD
1112,GORO,BFIN,DDF
1113,GPL,BFINX,DDL
1114,GQI,BFIT,DDS
1115,GQRE,BFOCX,DDT
1116,GREI,BFONX,DE
1117,GREK,BFRA,DEA
1118,GRES,BFRG,DECK
1119,GRF,BFRGW,DEH
1120,GRFX,BFRI,DEI
1121,GRI,BFRIW,DEL
1122,GRN,BFRKX,DELL
1123,GRNB,BFSAX,DEN
1124,GROY,BFST,DEO
1125,GRPM,BFTHX,DESP
1126,GRU,BFTIX,DEX
1127,GRWN,BGAFX,DFGR
1128,GRZZ,BGAIX,DFH
1129,GSAT,BGCP,DFIN
1130,GSC,BGEIX,DFLV
1131,GSEU,BGFV,DFNS
1132,GSFP,BGHIX,DFP
1133,GSG,BGKEX,DFPH
1134,GSIE,BGLAX,DFPHW
1135,GSIG,BGLC,DFS
1136,GSJY,BGLUX,DG
1137,GSLC,BGNE,DGNR
1138,GSP,BGNMX,DGX
1139,GSPY,BGRFX,DHF
1140,GSS,BGRN,DHI
1141,GSSC,BGRSX,DHR
1142,GSV,BGRWX,DHR-PA
1143,GSY,BGRY,DHR-PB
1144,GTE,BGRYW,DHT
1145,GTEK,BGRYX,DHX
1146,GTO,BGSAX,DIAX
1147,GUDB,BGSIX,DIDI
1148,GUNR,BGXX,DIN
1149,GURU,BHAC,DINO
1150,GUSA,BHACU,DIP
1151,GUSH,BHACW,DIS
1152,GVIP,BHAT,DK
1153,GVLU,BHBFX,DKL
1154,GVUS,BHCFX,DKS
1155,GWX,BHF,DLB
1156,GXC,BHFAL,DLNG
1157,GXF,BHFAM,DLNG-PA
1158,GXG,BHFAN,DLNG-PB
1159,GYLD,BHFAO,DLR
1160,HACK,BHFAP,DLR-PJ
1161,HAIL,BHHEX,DLR-PK
1162,HAO,BHSE,DLR-PL
1163,HAP,BHSEU,DLX
1164,HAPI,BHSEW,DLY
1165,HAPS,BHSRX,DM
1166,HAPY,BHTG,DMA
1167,HARD,BIAAX,DMB
1168,HART,BIAF,DMF
1169,HAUD,BIAFW,DMO
1170,HAUZ,BIAGX,DMS
1171,HAWX,BIAHX,DMS-WT
1172,HCMT,BIALX,DMYI
1173,HCOM,BIASX,DMYI-UN
1174,HDAW,BIATX,DMYS
1175,HDEF,BIAWX,DMYS-UN
1176,HDG,BIB,DMYS-WT
1177,HDGE,BICK,DMYY
1178,HDIV,BIDU,DNA
1179,HDLB,BIEAX,DNA-WT
1180,HDLS,BIECX,DNB
1181,HDLV,BIFIX,DNMR
1182,HDMV,BIGB,DNOW
1183,HDRO,BIGC,DNP
1184,HDUS,BIGFX,DNZ
1185,HDV,BIGRX,DNZ-UN
1186,HECO,BIGT,DNZ-WT
1187,HEDJ,BIIB,DO
1188,HELO,BIIEX,DOC
1189,HEQT,BILI,DOCN
1190,HEVY,BILTX,DOCS
1191,HEWC,BIMBX,DOLE
1192,HEWI,BIMI,DOMA
1193,HEWJ,BIMSX,DOMA-WT
1194,HEWL,BINIX,DOOR
1195,HEWP,BIOC,DOUG
1196,HEWU,BIOIX,DOV
1197,HEWW,BIOL,DOW
1198,HEWY,BIOPX,DPG
1199,HEZU,BIOR,DPL
1200,HFND,BIOS,DPZ
1201,HFXE,BIOSU,DQ
1202,HFXI,BIOSW,DRD
1203,HFXJ,BIOT,DRE
1204,HGER,BIOTU,DRH
1205,HHH,BIOTW,DRH-PA
1206,HIBL,BIOX,DRI
1207,HIBS,BIPIX,DRQ
1208,HIDV,BIPSX,DRUA
1209,HIGH,BIRAX,DS
1210,HIPR,BIRD,DSAQ
1211,HIPS,BIS,DSAQ-UN
1212,HJEN,BITF,DSAQ-WT
1213,HJPX,BITS,DSE
1214,HKND,BIVI,DSL
1215,HLGE,BJBGX,DSM
1216,HMG,BJBHX,DS-PB
1217,HMOP,BJBIX,DS-PC
1218,HNRA,BJDX,DS-PD
1219,HNRA-WT,BJK,DSSI
1220,HOLD,BJRI,DST
1221,HOM,BKCC,DSU
1222,HOML,BKCH,DSX
1223,HOMZ,BKEP,DSX-PB
1224,HOTL,BKEPP,DT
1225,HSCZ,BKIV,DTB
1226,HSMV,BKMU,DTC
1227,HSPX,BKNG,DTE
1228,HTAB,BKR,DTF
1229,HTBX,BKSC,DTG
1230,HTEC,BKWO,DTJ
1231,HTRB,BKYI,DTLA-P
1232,HTUS,BL,DTM
1233,HUSA,BLAC,DTP
1234,HUSE,BLBD,DTW
1235,HUSV,BLBX,DTY
1236,HVAL,BLCM,DUBS
1237,HWM-P,BLCN,DUK
1238,HYBB,BLCR,DUKB
1239,HYDW,BLCT,DUKH
1240,HYEM,BLDE,DUK-PA
1241,HYFI,BLDEW,DV
1242,HYG,BLDP,DVA
1243,HYGH,BLEU,DVD
1244,HYGI,BLEUR,DVN
1245,HYGV,BLEUU,DWIN
1246,HYLB,BLEUW,DWIN-UN
1247,HYLD,BLFS,DWIN-WT
1248,HYLG,BLFY,DWRE
1249,HYLV,BLGRX,DX
1250,HYMB,BLI,DXC
1251,HYRM,BLIN,DX-PC
1252,HYS,BLKB,DY
1253,HYSA,BLLD,DYFN
1254,HYTR,BLMN,E
1255,HYUP,BLNG,EAD
1256,IAI,BLNGU,EAF
1257,IAK,BLNGW,EAI
1258,IAPR,BLNK,EARN
1259,IAT,BLNKW,EAT
1260,IAU,BLPFX,EB
1261,IAUM,BLPH,EBF
1262,IAUX,BLRX,EBR
1263,IBCD,BLSA,EBR-B
1264,IBCE,BLTE,EBS
1265,IBD,BLTS,EC
1266,IBDC,BLTSU,ECAT
1267,IBDD,BLTSW,ECC
1268,IBDL,BLU,ECCB
1269,IBDM,BLUE,ECCC
1270,IBDN,BLUIX,ECC-PD
1271,IBDO,BLUW,ECCV
1272,IBDP,BLUWU,ECCW
1273,IBDQ,BLUWW,ECCX
1274,IBDR,BLVAX,ECCY
1275,IBDS,BLYAX,ECF
1276,IBDT,BLYYX,ECL
1277,IBDU,BLZE,ECOM
1278,IBDV,BMAQ,ECVT
1279,IBDW,BMAQR,ED
1280,IBDX,BMAQU,EDD
1281,IBDY,BMAQW,EDF
1282,IBIA,BMBL,EDI
1283,IBIB,BMBSX,EDN
1284,IBIC,BMBYX,EDR
1285,IBID,BMCIX,EDU
1286,IBIE,BMDIX,EE
1287,IBIF,BMDSX,EEA
1288,IBIG,BMEA,EEP
1289,IBIH,BMGAX,EEQ
1290,IBII,BMGCX,EETH
1291,IBIJ,BMGKX,EEX
1292,IBIO,BMLP,EFC
1293,IBLC,BMNSX,EFC-PA
1294,IBMH,BMPEX,EFC-PB
1295,IBMI,BMR,EFF
1296,IBMJ,BMRA,EFL
1297,IBMK,BMRC,EFM
1298,IBND,BMRN,EFR
1299,IBRN,BMRRX,EFT
1300,IBUY,BMTC,EFX
1301,ICAP,BND,EFXT
1302,ICI,BNDW,EG
1303,ICOL,BNDX,EGF
1304,ID,BNFT,EGGF
1305,IDAT,BNGO,EGGF-UN
1306,IDEC,BNGOW,EGHT
1307,IDEV,BNIX,EGL
1308,IDHQ,BNIXR,EGN
1309,IDIV,BNIXU,EGO
1310,IDLV,BNIXW,EGP
1311,IDMO,BNNR,EGY
1312,IDNA,BNNRU,EHAB
1313,IDOG,BNNRW,EHC
1314,IDR,BNOX,EHI
1315,IDRV,BNR,EHT
1316,IDU,BNRG,EIC
1317,IDVO,BNSO,EICA
1318,IDW,BNTC,EICB
1319,IDX,BNTX,EIG
1320,IDY,BOBE,EIM
1321,IE,BOCH,EIX
1322,IEMD,BOCN,EL
1323,IEMG,BOCNU,ELAN
1324,IEMV,BOCNW,ELAT
1325,IEUR,BOF,ELC
1326,IEV,BOGIX,ELF
1327,IEZ,BOGSX,ELIQ
1328,IFED,BOJA,ELME
1329,IFLY,BOKF,ELP
1330,IG,BOKFL,ELS
1331,IGBH,BOLT,ELU
1332,IGC,BOMN,ELV
1333,IGLB,BON,ELVT
1334,IGM,BOOM,ELY
1335,IGN,BOSC,EMC
1336,IGTR,BOSOX,EMD
1337,IHAK,BOTJ,EME
1338,IHDG,BOTZ,EMF
1339,IHE,BOWN,EMN
1340,IHF,BOWNR,EMO
1341,IHI,BOWX,EMP
1342,IHT,BOWXU,EMPW
1343,IHY,BOXL,EMQ
1344,IHYD,BPAC,EMR
1345,IHYV,BPACU,EMWP
1346,IIGD,BPACW,ENB
1347,IIGV,BPAIX,ENBA
1348,IJAN,BPAVX,ENBL
1349,IJH,BPFH,ENFN
1350,IJJ,BPGIX,ENH
1351,IJK,BPIAX,ENIA
1352,IJR,BPIRX,ENIC
1353,IJS,BPLEX,ENJ
1354,IJUL,BPLSX,ENLC
1355,ILCB,BPMC,ENLK
1356,ILCG,BPOP,ENO
1357,ILCV,BPOPM,ENOV
1358,ILDR,BPOPN,ENPC
1359,ILF,BPRN,ENPC-UN
1360,ILTB,BPRRX,ENPC-WT
1361,IMCB,BPSCX,ENR
1362,IMCG,BPSIX,ENR-PA
1363,IMFP,BPTH,ENS
1364,IMH,BPTIX,ENV
1365,IMO,BPTRX,ENVA
1366,IMTB,BPTS,ENZ
1367,IMTM,BPTUX,EOCW
1368,INC,BPY,EOCW-UN
1369,INCM,BPYPM,EOCW-WT
1370,INCO,BPYPN,EOD
1371,INDE,BPYPO,EOG
1372,INDF,BPYPP,EOI
1373,INDL,BPYU,EOS
1374,INDO,BPYUP,EOT
1375,INDS,BRAC,EPAC
1376,INFL,BRACR,EPAM
1377,INFU,BRACU,EPC
1378,INKM,BRAG,EPD
1379,INMU,BRCD,EP-PC
1380,INNO,BRCM,EPR
1381,INP,BRCN,EPR-PC
1382,INQQ,BREA,EPR-PE
1383,INR,BREAX,EPR-PG
1384,INS,BREFX,EPRT
1385,INTF,BREIX,EPWR
1386,INTT,BREZ,EQC
1387,INUV,BREZR,EQC-PD
1388,IOCT,BREZW,EQD
1389,ION,BRFH,EQD-UN
1390,IOO,BRID,EQGP
1391,IOR,BRIIX,EQH
1392,IPAC,BRIV,EQHA
1393,IPAY,BRIVU,EQHA-UN
1394,IPB,BRIVW,EQHA-WT
1395,IPE,BRKH,EQH-PA
1396,IPO,BRKHU,EQH-PC
1397,IPOS,BRKHW,EQNR
1398,IPS,BRKL,EQR
1399,IQDE,BRKR,EQS
1400,IQDF,BRKS,EQT
1401,IQDY,BRLI,EQY
1402,IQHI,BRLIR,ERC
1403,IQIN,BRLIU,ERF
1404,IQLT,BRLIW,ERJ
1405,IQSI,BRLIX,ERO
1406,IQSM,BRLT,ES
1407,IQSU,BRLVX,ESAB
1408,IRBA,BRMAX,ESE
1409,IRBO,BRMKX,ESGC
1410,IRHG,BRNS,ESI
1411,IRTR,BRNY,ESM
1412,IRVH,BROG,ESMT
1413,ISCB,BROGW,ESM-UN
1414,ISCF,BRP,ESM-WT
1415,ISCG,BRPM,ESNT
1416,ISCV,BRPMU,ESRT
1417,ISDR,BRQS,ESS
1418,ISEP,BRSH,ESTC
1419,ISMD,BRSHW,ESTE
1420,ISR,BRSIX,ET
1421,ISRA,BRTR,ETB
1422,ISWN,BRTX,ETD
1423,ISZE,BRXAX,ETG
1424,ITAN,BRY,ETH
1425,ITDA,BRZE,ETI-P
1426,ITDB,BSAE,ETJ
1427,ITDC,BSBE,ETN
1428,ITDD,BSBIX,ETO
1429,ITDE,BSBK,ETP
1430,ITDF,BSBSX,ET-PC
1431,ITDG,BSCE,ET-PD
1432,ITDH,BSCFX,ET-PE
1433,ITDI,BSCL,ETR
1434,ITEQ,BSCM,ETRN
1435,ITOT,BSCN,ETV
1436,ITP,BSCO,ETW
1437,ITRG,BSCP,ETWO
1438,IUSA,BSCQ,ETWO-WT
1439,IVE,BSCR,ETX
1440,IVES,BSCS,ETY
1441,IVLU,BSCT,EU
1442,IVOG,BSCU,EURN
1443,IVOL,BSCV,EVA
1444,IVOO,BSCVX,EVC
1445,IVOP,BSCW,EVE
1446,IVOV,BSCX,EVE-UN
1447,IVRS,BSDE,EVE-WT
1448,IVV,BSET,EVEX
1449,IVW,BSF,EVEX-WT
1450,IWB,BSFC,EVF
1451,IWC,BSGA,EVG
1452,IWD,BSGAR,EVH
1453,IWDL,BSGAU,EVHC
1454,IWF,BSGM,EVM
1455,IWFG,BSJL,EVN
1456,IWFH,BSJM,EVR
1457,IWFL,BSJN,EVRG
1458,IWIN,BSJO,EVRI
1459,IWL,BSJP,EVT
1460,IWLG,BSJQ,EVTC
1461,IWM,BSJR,EVTL
1462,IWML,BSJS,EVV
1463,IWMY,BSJT,EW
1464,IWN,BSJU,EXAR
1465,IWO,BSJV,EXD
1466,IWP,BSKY,EXG
1467,IWR,BSKYU,EXK
1468,IWS,BSKYW,EXP
1469,IWV,BSMAX,EXPR
1470,IWX,BSML,EXR
1471,IWY,BSMM,EXTN
1472,IXC,BSMN,EXTO
1473,IXG,BSMO,EZT
1474,IXJ,BSMP,F
1475,IXN,BSMQ,FACA
1476,IXP,BSMR,FACA-UN
1477,IXSE,BSMS,FACA-WT
1478,IYC,BSMT,FACT
1479,IYE,BSMU,FACT-UN
1480,IYF,BSMV,FACT-WT
1481,IYG,BSMW,FAF
1482,IYH,BSNSX,FAII
1483,IYK,BSPAX,FAII-UN
1484,IYM,BSPIX,FAM
1485,IYR,BSQR,FATH
1486,IYW,BSRR,FATH-WT
1487,IYY,BSSX,FAX
1488,JAAA,BSTSX,FBC
1489,JAGG,BSVN,FBHS
1490,JANT,BSVO,FBIN
1491,JANW,BSVSX,FBK
1492,JAVA,BSY,FBP
1493,JBND,BTAI,FBRT
1494,JCHI,BTAQ,FBRT-PE
1495,JCTR,BTAQU,FC
1496,JDIV,BTB,FCAX
1497,JDST,BTBD,FCAX-UN
1498,JEPI,BTBDW,FCAX-WT
1499,JEPY,BTBFX,FCB
1500,JETD,BTBT,FCF
1501,JETS,BTCS,FCH
1502,JETU,BTCT,FCN
1503,JFWD,BTCTW,FCO
1504,JGLD,BTCY,FCPT
1505,JGRO,BTDR,FCRW
1506,JHAC,BTEC,FCRX
1507,JHCB,BTEFX,FCRZ
1508,JHCS,BTF,FCT
1509,JHDV,BTIEX,FCX
1510,JHEM,BTIIX,FDEU
1511,JHID,BTM,FDP
1512,JHMA,BTMFX,FDS
1513,JHMB,BTMKX,FDX
1514,JHMC,BTMSX,FE
1515,JHMD,BTNB,FEDU
1516,JHME,BTOG,FEI
1517,JHMF,BTOP,FEN
1518,JHMH,BTRS,FENG
1519,JHMI,BTTRX,FEO
1520,JHML,BTTTX,FERG
1521,JHMM,BTTX,FET
1522,JHMS,BTWN,FF
1523,JHMT,BTWNU,FFA
1524,JHMU,BTWNW,FFC
1525,JHPI,BTX,FFOG
1526,JHSC,BUBSX,FG
1527,JIB,BUFBX,FGB
1528,JIDA,BUFC,FGH
1529,JIG,BUFDX,FGNA
1530,JIGB,BUFEX,FHI
1531,JIRE,BUFGX,FHN
1532,JJA,BUFHX,FHN-PB
1533,JJAB,BUFIX,FHN-PC
1534,JJC,BUFMX,FHN-PD
1535,JJCB,BUFOX,FHN-PE
1536,JJE,BUFSX,FHN-PF
1537,JJEB,BUFTX,FHS
1538,JJG,BUG,FI
1539,JJGB,BUIGX,FICO
1540,JJM,BUJA,FIF
1541,JJMB,BUJAR,FIGS
1542,JJN,BUJAW,FIHL
1543,JJP,BULD,FINS
1544,JJPB,BULIX,FINV
1545,JJS,BUMGX,FIS
1546,JJSB,BUSE,FIV
1547,JJT,BVAOX,FIX
1548,JJTB,BVDIX,FL
1549,JJU,BVEFX,FLAG
1550,JJUB,BVEIX,FLC
1551,JKD,BVS,FLME
1552,JKE,BVXV,FLME-UN
1553,JKF,BWAC,FLME-WT
1554,JKG,BWACU,FLNG
1555,JKH,BWACW,FLO
1556,JKJ,BWAQ,FLR
1557,JKK,BWAQR,FLS
1558,JKL,BWAQU,FLT
1559,JMBS,BWAQW,FLY
1560,JMEE,BWAY,FLYA
1561,JMIN,BWB,FLYA-UN
1562,JMOM,BWBBP,FLYA-WT
1563,JNK,BWBFX,FMAC
1564,JNUG,BWC,FMAC-UN
1565,JO,BWCAU,FMC
1566,JOB,BWCAW,FMD
1567,JOJO,BWEN,FMN
1568,JOYY,BWFG,FMO
1569,JPAN,BWLAX,FMS
1570,JPED,BWLD,FMX
1571,JPEM,BWLIX,FMY
1572,JPEU,BWMN,FN
1573,JPGE,BWMX,FNA
1574,JPHF,BWV,FNB
1575,JPIE,BXEAX,FNB-PE
1576,JPIN,BXEYX,FND
1577,JPLS,BXRX,FNF
1578,JPMB,BYFC,FNV
1579,JPME,BYLK,FOA
1580,JPMF,BYND,FOA-WT
1581,JPMO,BYNO,FOE
1582,JPMV,BYNOU,FOF
1583,JPN,BYNOW,FOR
1584,JPRE,BYOB,FORG
1585,JPSE,BYRN,FOUR
1586,JPSV,BYSI,FPAC
1587,JPUS,BYTS,FPAC-UN
1588,JPXN,BYTSU,FPAC-WT
1589,JQUA,BYTSW,F-PB
1590,JRE,BYU,F-PC
1591,JRNY,BZ,F-PD
1592,JSCP,BZFD,FPF
1593,JSI,BZFDW,FPH
1594,JSTC,BZUN,FPI
1595,JULT,CA,FPL
1596,JULW,CAAPX,FPO
1597,JUNE,CAAS,FR
1598,JUNT,CABA,FRA
1599,JUNW,CABDX,FRC
1600,JUSA,CAC,FRC-PH
1601,JUST,CACB,FRC-PI
1602,JVAL,CACC,FRC-PJ
1603,JXI,CACG,FRC-PK
1604,JYN,CACO,FRC-PL
1605,JZRO,CADIX,FRC-PM
1606,KALL,CADL,FRC-PN
1607,KARB,CAEAX,FREY
1608,KARS,CAECX,FREY-WT
1609,KBA,CAEEX,FRGE
1610,KBE,CAFG,FRO
1611,KBND,CAFRX,FRT
1612,KBUY,CAGEX,FRT-PC
1613,KCCA,CAGIX,FRX
1614,KCCB,CAHC,FRXB
1615,KCE,CAHCW,FRXB-UN
